"Table","File","Line","Risk","Note","Snippet"
"journal_vouchers","includes/journal_voucher.php","346","OK","GAP-09 j2: orange_gl_voucher_country_bind on jv JOIN/reference","'SELECT COUNT(*) FROM journal_vouchers WHERE voucher_serial <= 0 OR TRIM(COALESCE(journal_serial_bucket,\'\')) = \'\''"
"journal_vouchers","includes/journal_voucher.php","354","OK","GAP-09 j2: orange_gl_voucher_country_bind on jv JOIN/reference",". ' FROM journal_vouchers WHERE voucher_serial <= 0 OR TRIM(COALESCE(journal_serial_bucket,\'\')) = \'\' ORDER BY COALESCE(fiscal_year_id,0) ASC, id ASC'"
"journal_vouchers","includes/journal_voucher.php","583","OK","GAP-09 j2: orange_gl_voucher_country_bind on jv JOIN/reference","$pdo->prepare('DELETE FROM journal_vouchers WHERE id = ?')->execute([$vid]);"
"journal_vouchers","includes/journal_voucher.php","660","OK","GAP-09 j2: orange_gl_voucher_country_bind on jv JOIN/reference","$ex = $pdo->prepare('SELECT id FROM journal_vouchers WHERE id = ? LIMIT 1');"
"journal_vouchers","includes/journal_voucher.php","774","OK","GAP-09 j2: orange_gl_voucher_country_bind on jv JOIN/reference","INNER JOIN journal_vouchers jv ON jv.id = jl.voucher_id"
"journal_vouchers","includes/journal_voucher.php","827","OK","GAP-09 j2: orange_gl_voucher_country_bind on jv JOIN/reference","INNER JOIN journal_vouchers jv ON jv.id = jl.voucher_id"
"journal_vouchers","includes/journal_voucher.php","876","OK","GAP-09 j2: orange_gl_voucher_country_bind on jv JOIN/reference","INNER JOIN journal_vouchers jv ON jv.id = jl.voucher_id"
"journal_vouchers","includes/order_fulfillment.php","487","LOW","Review — entity-scoped or legacy path","$st = $pdo->prepare('SELECT 1 FROM journal_vouchers WHERE reference LIKE ? LIMIT 1');"
"journal_vouchers","includes/party_subledger.php","193","OK","GAP-09 j2: orange_gl_voucher_country_bind on jv JOIN/reference","INNER JOIN journal_vouchers jv ON jv.id = ps.voucher_id"
"journal_vouchers","includes/party_subledger.php","243","OK","GAP-09 j2: orange_gl_voucher_country_bind on jv JOIN/reference","INNER JOIN journal_vouchers jv ON jv.id = ps.voucher_id"
"journal_vouchers","includes/year_end_close.php","30","LOW","Review — entity-scoped or legacy path","$stChk = $pdo->prepare('SELECT id FROM journal_vouchers WHERE reference IN (?,?,?,?) LIMIT 1');"
"journal_vouchers","includes/year_end_close.php","222","OK","BY PK or fiscal_year (per-country FY)","'SELECT id FROM journal_vouchers WHERE reference IN (?,?,?,?) OR (fiscal_year_id = ? AND entry_type = ?)'"
"journal_vouchers","includes/year_end_close.php","238","LOW","Review — entity-scoped or legacy path","$pdo->prepare(""DELETE FROM journal_vouchers WHERE id IN ($delPh)"")->execute($ids);"
"journal_vouchers","scripts/maintenance_empty_accounts_reset_autoincrement.sql","23","LOW","Review — entity-scoped or legacy path","DELETE FROM journal_vouchers;"
